B,COM_RAT,Cyclic,D,Dcy*,DIT,DPT*,E,Inner,LCOM,Level,LOC,N,NCLOC,NOAC,NOC,NOIC,OCmax,PDcy,PDpt,STAT,SUB,TCOM_RAT,V,WMC,CBO,CLOC,Command,CONS,CSA,CSO,CSOA,Dcy,DPT,INNER,jf,JLOC,Jm,Level*,MPC,n,NAAC,NAIC,NOOC,NTP,OCavg,OPavg,OSavg,OSmax,Query,RFC,TODO
-0.05186353,0.16282189,-0.071528964,-0.3574917,-0.20115471,0.017656472,-0.3892464,0.0,0.0,0.030946719,0.21266642,-0.38189003,-0.071420945,0.045633595,0.115681924,-0.0006500548,-0.16453706,-0.06617754,-0.25947878,-0.1658177,-0.07111655,-0.0019674622,0.2721058,-0.03472796,0.009723446,0.08685333,-0.17083079,-0.05077769,-1.0261806,-0.04407078,-0.1676466,-0.0838885,0.03663805,-0.390729,-0.004694053,-0.010082114,-0.027549021,-0.00429697,0.36766404,-0.824079,0.12102793,0.018155709,0.18150742,0.013104068,-0.052067935,-0.086133674,-0.1872991,-0.07542757,-0.1671237,-0.105965324,-0.18653709,0.019469844
-0.059444465,-0.39558917,0.060915735,-0.6895219,0.18076588,-0.035590082,0.16561306,0.0,0.0,0.041830204,0.25790387,-0.23743953,-0.05059426,0.061292183,-0.33926517,0.015234446,0.043661356,0.11254148,0.13278165,-0.05217993,-0.15831709,0.005554608,0.08832859,-0.019914398,0.060372077,0.030550197,-0.17114621,-0.014707645,0.06593363,-0.06612259,0.06762372,-0.061601665,-0.058120493,-0.159754,0.06427592,-0.011055823,-0.0031935466,-0.0044837883,-0.18180603,-0.7667718,0.099704534,0.07415403,0.15500465,0.07877837,-0.046957444,-1.6002841,-0.09415385,-0.019640777,0.786244,-0.09491503,-0.0071498565,0.006664132
0.3288615,0.0027065314,-0.02995492,0.22339278,0.14986585,-0.06796991,-0.62109727,0.0,0.0,0.021579647,0.3083716,0.474588,0.081127085,-0.02857681,-0.027719624,-0.0019327638,-0.2734673,-0.0046942825,-0.0044896267,-0.0669228,0.19171186,-0.0018525113,0.31348795,0.02483614,0.061799396,-0.1770624,-0.03876558,-0.00077306584,-1.6251625,0.16329148,-0.1554611,-0.14563845,-0.07248072,-0.02787014,0.022499716,-0.01922138,-0.0023504496,-0.00429697,0.33453435,-0.15487891,0.019979438,0.13414861,0.3173458,0.00067570107,-0.015214738,0.5728746,0.012817192,-0.43343255,-0.2236291,0.15169886,0.09729051,0.005557102
-0.10332586,-0.24556446,-0.44727552,0.29511076,0.39395204,0.009212952,0.12838726,0.0,0.0,-0.10516807,-0.18364622,0.12948558,0.06647348,0.0073287366,-0.07442509,-0.0019487487,0.008786001,0.13815542,-0.0002660416,-0.09383423,0.08635855,-0.002584826,-0.84592086,0.04471896,0.13443531,-0.063895024,-0.06592394,0.019273184,0.025474899,-0.119793355,0.03238704,0.10413719,-0.09491033,-0.48596394,-0.09606908,0.036281116,-0.11392516,-0.0017173205,-3.6946263,0.011990318,-0.093103714,0.09074129,-0.028523158,-0.04368798,-0.032484718,0.7700157,-0.29290345,-0.28690413,-0.13169993,0.09101797,0.26794204,0.0031885114
-0.05042302,0.093958445,0.08458462,0.17795849,-0.15953659,0.007097952,-0.3946536,0.0,0.0,0.04127046,-0.098976895,0.24960837,0.03966552,-0.05983687,-0.007887822,-0.0005022406,0.1948079,-0.2336176,-0.018148927,0.16902326,-0.33200908,-0.0041403994,0.18490367,0.117041536,-0.11503145,-0.1912743,0.09408494,0.033205185,0.14349335,0.09894727,-0.017362291,0.18943322,-0.018350614,0.06147307,-0.18578584,-0.14770722,-0.004466122,-0.0034383312,0.6453161,-0.5709647,-0.14051437,-0.18778466,-0.0065929787,-0.026610937,-0.046426725,-1.2655356,-0.15858819,0.16071595,-0.27531365,-0.0058386456,-0.31927872,0.002799155
0.05597359,0.2007986,0.19389506,0.43928346,0.011576143,0.0057772095,0.32219708,0.0,0.0,0.1614859,-0.011263927,0.2946865,0.35277215,0.12723953,-0.03716174,-0.00028000702,-0.033856776,-0.1445144,-0.018247988,-0.036431063,0.28247803,-0.0022450055,-0.47060874,0.086130776,0.106033064,-0.21127772,-0.18570231,0.13781849,0.19086581,0.060952373,0.15121038,0.13349912,0.023299905,0.7402121,-0.123504154,0.27417564,0.06257458,0.07422991,0.77088904,0.15537153,-0.044709478,0.34595457,-0.010427077,-0.046919476,0.82717437,-0.7425111,0.3867394,0.13714711,-0.33735684,-0.04819806,0.27531695,0.0032758678
0.06038875,-0.2635384,-0.24037951,0.41343814,-0.54845226,0.0033516446,0.112881444,0.0,0.0,-0.07793201,-0.17017928,-0.266614,-0.040580403,-0.100505285,-0.0823154,-0.0015405993,-0.0040338254,-0.15715699,-0.022563804,-0.042314943,-0.14416875,-0.0016111538,-0.77343786,0.051584817,-0.07883089,-0.06087633,-0.13798176,-0.0057530785,0.02041585,-0.2658372,0.010374368,0.09679014,0.11630702,0.12023392,-0.085716955,0.027976416,0.023923282,0.07422991,-2.513041,-0.226368,-0.33675635,0.076649174,-0.014133809,0.024923125,-0.045074277,0.53837806,-0.04680883,0.124245405,0.123553194,-0.094204225,-0.06613398,0.0031885114
-0.013247289,-0.66180706,0.086042106,0.07532905,0.0146976635,0.0036351944,0.11865191,0.0,0.0,-0.017431911,-0.10495382,-0.21668944,-0.1936479,-0.15688853,-0.0010734014,0.0034707836,0.008824345,-0.223457,0.014538985,-0.022291537,0.032864362,-0.003500077,0.054109953,0.0063650757,-0.13512802,-0.5482509,-0.18231706,0.030915296,-0.060353488,-0.18315311,-0.071322046,0.12905769,-0.024340678,-0.7016233,-0.21482173,-0.015886365,-0.019712305,-0.0034383312,0.67977566,-0.08803394,-0.08526914,0.170151,-0.0043402337,-0.011052231,-0.058232687,-0.37011442,-0.16504888,0.04891485,0.08092815,0.76348794,-0.32194233,0.0056273537
0.06217778,0.0021919282,-0.37292874,0.84751624,-0.095451795,0.027156677,0.3866524,0.0,0.0,0.027043015,-0.17177832,0.40266994,0.12828344,0.03475745,-0.024537023,-0.0013849204,0.056873303,0.26665413,0.0381694,0.10405601,0.33224297,-0.004109334,0.33766085,0.061446864,0.19502547,-0.017648002,0.02286857,0.031322517,0.13673659,-0.07586033,0.09299727,0.29426396,-0.096667245,-0.443907,-0.12738734,0.044522446,0.008032457,-0.0017537824,0.984092,0.43909377,-0.08487168,0.17428096,-0.018321589,0.057663694,-0.017979886,1.4391586,0.109114744,-0.4536637,0.016615955,0.096571065,0.16432233,0.002799155
0.106598765,0.1697906,0.21356712,0.93977445,0.0047432333,0.027156677,0.1174119,0.0,0.0,-0.0023102802,-0.14805098,0.63234407,0.112312116,-0.025582653,0.03696067,0.06324768,0.0032603317,0.42736953,0.061635848,0.012252487,0.6764372,-0.005576565,-0.25275028,0.025804669,0.063090876,-0.14697097,-0.19257548,0.02764026,0.24637024,0.13575342,-0.07052544,-0.11641087,-0.06178561,-0.121504925,0.008032694,0.24497743,0.051044513,0.055554807,1.34299,0.06286713,-0.13775697,-0.19328703,-0.02085632,-0.012638254,-0.020475572,1.3496201,-0.08068646,-0.31186754,0.018916171,0.07232366,0.2652497,0.0056273537
